iteration,n_genes,cv_acc,mean_shap,std_shap,dropped,top20
34,434,0.8948287910552062,0.01797146536409855,0.05473762005567551,"['FAM3B', 'FBXO2', 'FGFR3', 'FILIP1', 'FKBP4']","['CCNB1', 'MELTF', 'PLOD2', 'CD99', 'BMP7', 'ATP13A4', 'SCUBE2', 'RPA1', 'NIBAN1', 'CXCL14', 'RASGRF1', 'GGTLC1', 'MARCO', 'MALL', 'CPM', 'TMPRSS2', 'CFTR', 'LBR', 'ADH1B', 'CDK6']"
35,429,0.8823666433729326,0.018159804865717888,0.053998470306396484,"['FAM3D', 'FAXC', 'FGF13', 'FGFR1', 'FGFR2']","['MELTF', 'CCNB1', 'PLOD2', 'BMP7', 'SCUBE2', 'TMPRSS2', 'MALL', 'CD99', 'ATP13A4', 'RPA1', 'NIBAN1', 'RASGRF1', 'CXCL14', 'LBR', 'CDK6', 'MARCO', 'CFTR', 'GGTLC1', 'PRRX2', 'CPM']"
36,424,0.8884230142091777,0.018515847623348236,0.052398212254047394,"['CTSH', 'FADS2', 'FLRT3', 'FOLR1', 'FXYD5']","['CCNB1', 'MELTF', 'PLOD2', 'CD99', 'BMP7', 'CDK6', 'TMPRSS2', 'CXCL14', 'MALL', 'ATP13A4', 'PRRX2', 'RASGRF1', 'SCUBE2', 'UCK2', 'RPA1', 'CFTR', 'MARCO', 'CPM', 'ADH1B', 'ANLN']"
37,419,0.8886559515490333,0.018936291337013245,0.053727902472019196,"['FREM2', 'FZD10-AS1', 'G6PD', 'GABRP', 'GALNT12']","['CCNB1', 'MELTF', 'PLOD2', 'CD99', 'ATP13A4', 'PRRX2', 'CXCL14', 'BMP7', 'SCUBE2', 'ADH1B', 'GGTLC1', 'RPA1', 'MALL', 'TMPRSS2', 'RASGRF1', 'CFTR', 'CDK6', 'SC5D', 'LBR', 'NIBAN1']"
38,414,0.901001630561379,0.018777986988425255,0.055409885942935944,"['FZD10', 'GALNT6', 'GALNT7', 'GARS1', 'GCLC']","['CCNB1', 'MELTF', 'PLOD2', 'CD99', 'BMP7', 'CDK6', 'SCUBE2', 'RASGRF1', 'ATP13A4', 'MARCO', 'CXCL14', 'GGTLC1', 'TMPRSS2', 'ANLN', 'CFTR', 'ADH1B', 'PRRX2', 'LBR', 'NIBAN1', 'RPA1']"
39,409,0.8824831120428605,0.019140277057886124,0.056020207703113556,"['GAPDH', 'GATA6', 'GCNT1', 'GCNT3', 'GJB1']","['CCNB1', 'MELTF', 'PLOD2', 'BMP7', 'CXCL14', 'TMPRSS2', 'SCUBE2', 'MARCO', 'GGTLC1', 'CD99', 'ATP13A4', 'PRRX2', 'RASGRF1', 'NIBAN1', 'RPA1', 'CDK6', 'MALL', 'ELOVL6', 'LBR', 'LFNG']"
40,404,0.8761938038667599,0.019156912341713905,0.05826137959957123,"['GFUS', 'GNE', 'GPC3', 'GPR160', 'GRAMD1B']","['CCNB1', 'MELTF', 'PLOD2', 'BMP7', 'CDK6', 'TMPRSS2', 'CD99', 'SCUBE2', 'CXCL14', 'MARCO', 'RPA1', 'RASGRF1', 'CYP4F11', 'LBR', 'PRRX2', 'ATP13A4', 'ADH1B', 'CFTR', 'GGTLC1', 'CPM']"
41,399,0.8885394828791057,0.019427115097641945,0.05382010340690613,"['GJB3', 'GMDS', 'GRB14', 'GSDMC', 'GSTP1']","['CCNB1', 'MELTF', 'PLOD2', 'BMP7', 'CXCL14', 'CD99', 'MARCO', 'GGTLC1', 'PRRX2', 'TMPRSS2', 'RASGRF1', 'RPA1', 'NIBAN1', 'SCUBE2', 'UCK2', 'CFTR', 'CDK6', 'MALL', 'ATP13A4', 'TMPRSS6']"
42,394,0.9008851618914512,0.019838085398077965,0.055795684456825256,"['GGH', 'GLS', 'GPR37', 'GPT2', 'GPX2']","['CCNB1', 'MELTF', 'PLOD2', 'TMPRSS2', 'CD99', 'ATP13A4', 'CDK6', 'BMP7', 'CXCL14', 'MARCO', 'SCUBE2', 'MALL', 'RASGRF1', 'GGTLC1', 'NIBAN1', 'CFTR', 'ADH1B', 'LFNG', 'CPM', 'CYP4F11']"
43,389,0.9008851618914511,0.019866222515702248,0.055651068687438965,"['ACSS1', 'GRIN2D', 'GSR', 'HACD1', 'HAGLR']","['CCNB1', 'MELTF', 'PLOD2', 'BMP7', 'CD99', 'RASGRF1', 'SCUBE2', 'MALL', 'ANLN', 'RPA1', 'CXCL14', 'TMPRSS2', 'CDK6', 'NIBAN1', 'PRRX2', 'ATP13A4', 'LBR', 'CPM', 'GGTLC1', 'MARCO']"
